LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PoolArea,YrSold,MoSold,Neighborhood,HouseStyle,GarageType,ExterCond,SalePrice
9731,6,9,2006,1991,1083.0,2032,1,1,2,1,9,2,0,730.0,0,2020,5,Lakeside,SplitLevel,Detached,Fair,383100
3504,2,10,1983,2003,446.0,1995,1,0,3,2,9,2,1,150.0,200,2016,4,Greenfield,2Story,BuiltIn,Fair,313900
12146,4,10,1958,1965,1954.0,1973,3,1,5,2,11,0,2,236.0,0,2022,9,Sunnyvale,1Story,BuiltIn,Average,395100
5875,6,1,2015,1968,77.0,2787,1,0,5,2,6,0,3,610.0,0,2017,6,Sunnyvale,1Story,BuiltIn,Fair,370200
16500,8,3,1976,2008,2297.0,4340,3,0,1,1,8,1,3,796.0,200,2017,1,Old Town,1.5Story,None,Average,652700
19456,8,2,1964,2000,1583.0,3969,2,0,3,1,4,1,3,550.0,200,2020,8,Downtown,2Story,BuiltIn,Fair,585900
13093,5,10,1958,2021,1500.0,3073,1,0,1,2,4,2,0,653.0,0,2020,11,Sunnyvale,SplitLevel,Attached,Average,448600
16605,10,2,1965,1955,1677.0,2293,2,0,4,2,7,0,2,722.0,0,2020,11,Hillcrest,1Story,None,Excellent,482300
3145,6,6,1978,1964,1497.0,3689,1,0,5,2,9,2,2,580.0,400,2016,1,Riverside,1Story,Attached,Fair,536200
3294,9,9,1986,1984,1217.0,3071,1,1,1,1,4,2,2,396.0,0,2022,10,Lakeside,2Story,Detached,Excellent,599400
4239,4,2,1996,1991,1662.0,2730,2,0,4,1,11,0,1,729.0,400,2017,12,Northgate,1.5Story,None,Poor,417700
12435,10,9,2016,2010,703.0,1516,3,0,2,1,11,0,3,633.0,0,2015,9,Hillcrest,SplitLevel,Attached,Excellent,404100
5969,9,8,2009,1970,1743.0,3265,1,0,5,2,6,0,1,100.0,200,2018,4,Northgate,1Story,BuiltIn,Poor,507700
5665,3,8,2010,2009,2044.0,2641,2,1,5,2,10,1,0,221.0,400,2015,5,Northgate,SplitLevel,Detached,Poor,415200
10973,9,7,2013,1992,48.0,1063,2,1,5,2,4,2,2,891.0,400,2019,3,Suburbia,SplitLevel,BuiltIn,Poor,285600
10643,1,8,2014,2019,15.0,2711,1,1,2,2,10,1,1,297.0,0,2021,3,Sunnyvale,1.5Story,Attached,Good,342800
19127,10,9,1979,1957,1877.0,964,3,1,4,1,11,2,1,744.0,400,2019,6,Old Town,2Story,Attached,Fair,320300
8626,3,7,2018,1966,1433.0,2210,1,0,2,2,10,2,0,782.0,0,2018,1,Sunnyvale,1.5Story,,Poor,343800
6627,3,2,1998,1984,1291.0,2083,3,0,1,1,10,0,3,105.0,200,2020,10,Northgate,2Story,BuiltIn,Poor,328100
13817,1,4,1990,1993,540.0,3709,2,1,5,1,11,0,3,383.0,0,2023,9,Northgate,2Story,Detached,Poor,420300
5844,10,3,1951,1983,12.0,4380,3,1,1,2,10,2,0,426.0,0,2017,3,Greenfield,1Story,BuiltIn,Good,561100
10906,1,2,1953,1978,1032.0,3630,2,0,2,2,3,1,3,804.0,0,2015,8,Riverside,2Story,Detached,Fair,457500
17043,5,1,2001,1969,1133.0,1825,1,0,3,2,5,0,2,364.0,0,2018,10,Suburbia,2Story,Attached,Good,338000
19531,3,9,1950,1964,78.0,2769,3,0,4,2,9,2,2,203.0,0,2017,4,Northgate,SplitLevel,BuiltIn,Fair,353700
5920,7,4,2003,2018,1438.0,750,2,1,4,1,7,0,2,507.0,0,2018,5,Oakwood,1Story,,Excellent,306000
16545,8,10,1989,2011,631.0,3206,3,1,2,2,8,2,0,152.0,0,2021,3,Oakwood,2Story,BuiltIn,Good,501100
15043,7,2,1959,2005,1110.0,835,2,1,1,2,4,2,2,481.0,200,2022,12,Old Town,1Story,Attached,Excellent,275600
11175,3,6,2000,1985,1964.0,3723,2,1,2,2,8,1,0,64.0,200,2015,2,Hillcrest,1.5Story,Detached,Poor,501400
3235,2,1,1992,2022,113.0,2451,3,1,4,1,6,0,1,741.0,0,2017,4,Hillcrest,SplitLevel,None,Fair,303900
9154,10,4,2007,1975,377.0,3766,2,0,3,1,11,0,3,687.0,0,2015,9,Suburbia,1.5Story,None,Good,535800
17051,4,3,2016,2011,443.0,3522,2,0,1,1,10,1,3,611.0,0,2016,8,Suburbia,2Story,Detached,Average,471700
8179,9,2,2011,1993,2163.0,4334,3,0,1,1,8,0,0,576.0,0,2018,10,Northgate,1Story,BuiltIn,Good,643000
16350,5,9,2011,2012,404.0,2021,3,0,1,1,4,1,0,389.0,0,2021,2,Riverside,1Story,BuiltIn,Average,355700
15677,10,10,1957,1951,1190.0,2783,3,0,2,1,10,0,1,164.0,400,2020,7,Oakwood,2Story,Attached,Poor,460400
7944,4,3,2007,2009,637.0,2590,1,1,1,2,9,1,1,138.0,0,2022,8,Old Town,1.5Story,Detached,Average,351800
14939,7,8,2012,1984,793.0,3906,2,0,3,2,6,1,3,299.0,0,2021,10,Riverside,SplitLevel,BuiltIn,Excellent,570300
10357,8,7,2013,1996,1499.0,2656,3,0,2,1,4,0,2,71.0,200,2015,3,Sunnyvale,2Story,None,Excellent,489300
14664,8,8,1999,1962,1253.0,3435,3,0,3,1,4,1,1,524.0,0,2017,3,Oakwood,1Story,Detached,Good,549500
4304,9,6,1954,2020,547.0,2955,2,0,3,1,4,1,0,462.0,0,2021,9,Hillcrest,1.5Story,BuiltIn,Excellent,466600
8132,1,9,1984,1982,658.0,1468,1,0,2,2,10,1,1,695.0,200,2016,11,Old Town,2Story,BuiltIn,Average,269700
11150,8,6,2002,2016,521.0,2332,3,1,4,1,11,1,2,81.0,400,2019,3,Riverside,1Story,None,Poor,399500
7777,3,3,1985,2000,1932.0,2095,1,0,1,1,6,0,3,209.0,0,2023,6,Old Town,SplitLevel,Detached,Excellent,362800
6342,9,7,1955,2001,275.0,2264,3,1,1,2,11,0,3,107.0,400,2022,6,Lakeside,1Story,Attached,Fair,417600
10715,10,9,2018,2004,1186.0,4208,2,0,3,1,7,1,3,571.0,0,2023,11,Old Town,SplitLevel,Attached,Good,618800
9283,3,3,1958,1980,722.0,1450,3,0,1,2,11,2,1,556.0,400,2017,3,Downtown,SplitLevel,Detached,Excellent,345600
4828,2,10,1987,1960,15.0,2523,3,1,5,1,3,0,1,686.0,0,2016,9,Greenfield,1Story,BuiltIn,Fair,309700
10099,3,3,1969,2001,1424.0,1700,1,1,5,2,5,0,3,21.0,0,2021,9,Suburbia,SplitLevel,Detached,Good,333000
12078,3,1,1979,1963,1758.0,4317,1,1,4,2,6,1,3,657.0,0,2017,2,Sunnyvale,1Story,Detached,Poor,541000
16380,8,6,1962,1975,,2954,1,1,4,2,11,1,1,535.0,400,2017,3,Old Town,1.5Story,BuiltIn,Excellent,463100
16472,3,7,1986,2017,1622.0,1548,2,0,4,2,5,2,2,513.0,0,2023,9,Greenfield,1.5Story,None,Good,344300
12789,2,6,1959,1982,814.0,1040,1,0,1,2,7,2,2,315.0,200,2015,11,Riverside,SplitLevel,None,Average,248400
15316,5,6,1969,1975,2473.0,3641,1,0,1,2,9,0,3,451.0,0,2015,11,Old Town,SplitLevel,Attached,Average,543300
13757,10,6,2003,1964,1240.0,4047,2,0,4,2,11,1,1,344.0,0,2018,8,Hillcrest,1.5Story,Detached,Average,614900
14692,10,9,1980,1984,1497.0,2267,2,1,5,2,4,0,1,295.0,0,2015,2,Greenfield,1Story,Attached,Excellent,425400
14483,5,7,2008,2018,1829.0,3466,3,1,3,2,4,1,1,695.0,0,2020,5,Sunnyvale,2Story,None,Good,517000
3384,2,2,2022,2018,1757.0,3545,3,1,3,2,8,2,3,880.0,200,2020,3,Hillcrest,SplitLevel,BuiltIn,Average,553000
15874,5,2,1953,1959,1142.0,3268,2,0,2,1,8,2,1,735.0,200,2017,10,Oakwood,1Story,None,Poor,426000
8946,7,8,2019,1983,2035.0,3737,2,1,3,2,9,2,0,41.0,0,2023,2,Oakwood,1Story,Attached,Fair,585000
10587,4,7,2021,1975,268.0,776,3,0,1,1,9,2,3,479.0,0,2015,11,Downtown,1.5Story,BuiltIn,Fair,229800
9446,6,9,1950,1959,2061.0,4060,1,0,5,2,6,1,3,437.0,0,2017,3,Sunnyvale,2Story,Detached,Good,617100
11706,6,2,1966,1951,105.0,2039,3,0,2,2,8,0,1,84.0,0,2015,8,Sunnyvale,SplitLevel,BuiltIn,Poor,281600
10673,6,10,1980,2018,369.0,3992,1,0,5,1,9,2,1,899.0,0,2019,12,Greenfield,1Story,None,Good,509500
10041,8,6,2010,2013,2179.0,2989,3,0,5,2,10,2,2,351.0,200,2015,10,Sunnyvale,SplitLevel,Attached,Poor,526300
14053,3,6,1997,1986,1559.0,911,3,0,1,2,11,2,2,673.0,0,2020,5,Oakwood,2Story,Detached,Good,286500
4531,5,10,1966,2002,717.0,1670,1,0,3,1,8,2,2,437.0,0,2021,5,Oakwood,1.5Story,Detached,Excellent,346300
7729,5,8,1964,2006,1297.0,2278,1,0,3,1,9,2,3,677.0,400,2022,2,Downtown,2Story,Detached,Good,488000
11472,5,10,1982,1971,1043.0,944,2,1,3,2,5,1,2,388.0,0,2022,5,Sunnyvale,1Story,Detached,Poor,225700
14083,3,2,1999,2010,516.0,2465,2,1,5,2,8,1,3,763.0,0,2018,7,Northgate,2Story,Detached,Average,366800
18979,8,7,2000,1998,1203.0,1272,3,0,5,2,8,0,0,236.0,0,2016,5,Hillcrest,1Story,None,Poor,293700
5612,4,3,1977,2013,1760.0,1355,3,1,5,2,3,0,2,650.0,0,2017,2,Oakwood,1Story,Attached,Excellent,343100
9183,10,9,1967,1954,172.0,2137,2,0,2,2,5,0,0,857.0,400,2015,2,Hillcrest,2Story,Detached,Fair,400900
4970,5,4,1968,2012,692.0,1544,3,0,1,2,11,1,3,247.0,0,2019,6,Northgate,1.5Story,Attached,Poor,276000
4980,2,2,1958,1982,494.0,1297,1,1,5,2,5,0,1,244.0,200,2015,12,Hillcrest,1Story,None,Good,252300
16635,1,9,1978,1953,615.0,4322,2,1,2,2,11,1,3,829.0,200,2019,8,Hillcrest,2Story,None,Poor,536600
8855,6,8,1955,1965,1057.0,3527,1,0,2,2,7,0,3,20.0,400,2015,8,Sunnyvale,1Story,Detached,Average,545000
10629,5,4,1951,1957,2349.0,1909,3,0,2,2,6,2,1,587.0,0,2018,12,Downtown,1.5Story,None,Average,406900
6173,8,6,1978,2012,1187.0,3702,2,1,2,1,4,0,2,31.0,0,2016,1,Greenfield,1.5Story,BuiltIn,Average,508700
8901,4,1,1971,1963,2310.0,775,2,1,2,1,7,1,3,30.0,200,2023,12,Greenfield,2Story,Attached,Average,284600
13775,7,8,1979,1987,627.0,1127,1,0,4,2,8,0,3,423.0,0,2019,12,Greenfield,1.5Story,None,Fair,251200
14745,8,8,1979,1970,1585.0,1847,1,0,2,2,10,0,3,758.0,400,2016,9,Northgate,1Story,Detached,Fair,398300
11258,1,2,1999,2003,1629.0,3616,3,0,4,1,11,0,3,241.0,200,2017,1,Downtown,SplitLevel,Attached,Good,539300
10179,9,3,1962,1974,2056.0,4020,1,0,3,1,6,2,2,348.0,400,2015,11,Oakwood,2Story,BuiltIn,Excellent,648800
18385,2,3,1982,1986,1756.0,3631,2,0,3,1,4,2,1,387.0,0,2020,3,Downtown,SplitLevel,Attached,Fair,540400
7971,1,4,2018,1992,1673.0,1130,2,0,3,1,8,0,2,196.0,0,2018,9,Lakeside,SplitLevel,Attached,Excellent,342000
11433,4,6,1990,2020,916.0,2039,1,1,5,1,4,1,2,109.0,0,2015,6,Old Town,2Story,Attached,Good,346500
6900,3,3,1981,1988,2240.0,1831,3,1,4,2,3,1,0,738.0,0,2016,7,Old Town,2Story,BuiltIn,Excellent,374500
3632,6,9,1970,2001,831.0,3093,3,1,4,1,9,1,0,412.0,200,2018,7,Northgate,SplitLevel,Detached,Good,479800
4778,1,6,2003,1962,2292.0,4200,3,1,3,2,7,2,2,504.0,0,2022,7,Riverside,1Story,None,Average,586200
12374,4,10,2019,1989,,1901,2,1,2,1,9,2,1,693.0,0,2015,5,Greenfield,SplitLevel,Attached,Fair,311300
19077,5,4,2006,2012,1942.0,4191,1,1,3,1,4,0,0,282.0,0,2016,1,Riverside,2Story,Detached,Average,575900
3301,1,4,1969,1980,1326.0,3545,3,0,1,1,7,2,1,443.0,0,2016,11,Old Town,1.5Story,Attached,Average,441600
10455,2,8,1974,2007,1583.0,1566,3,0,2,1,4,0,1,136.0,0,2020,7,Suburbia,1Story,Attached,Fair,299700
8093,7,8,1970,2016,2357.0,4116,1,0,2,2,6,2,2,,0,2016,10,Lakeside,1Story,Attached,Good,641500
8827,2,10,1997,1990,908.0,1360,3,1,2,2,3,1,1,333.0,400,2020,12,Riverside,1Story,BuiltIn,Average,320600
18147,4,9,1965,1988,1482.0,1152,1,1,4,2,5,1,2,,0,2019,11,Hillcrest,2Story,Attached,Poor,268600
13837,5,3,1974,1970,1983.0,4076,3,0,5,2,4,0,3,272.0,400,2022,3,Lakeside,2Story,BuiltIn,Fair,646900
19616,6,2,1992,2011,2402.0,4306,2,1,3,2,4,0,2,328.0,400,2019,11,Riverside,2Story,Attached,Average,663800
6713,10,1,2016,1958,1290.0,2253,2,0,3,2,3,1,1,893.0,0,2020,8,Hillcrest,1Story,Attached,Excellent,480200
3362,8,8,1983,1986,65.0,3655,1,0,1,1,11,2,3,851.0,0,2020,1,Sunnyvale,1.5Story,Detached,Excellent,513300
7760,10,5,1959,1951,1184.0,2954,2,0,1,1,6,0,2,716.0,200,2016,1,Hillcrest,1.5Story,BuiltIn,Average,549500
7426,10,5,2020,1966,2149.0,2183,1,1,3,1,10,0,0,269.0,0,2020,9,Oakwood,1.5Story,Detached,Average,435300
4605,4,2,1953,1970,1447.0,4401,3,0,3,2,9,0,3,84.0,400,2016,9,Oakwood,2Story,BuiltIn,Poor,551800
12333,3,6,1978,1953,2167.0,2846,2,1,4,2,9,2,1,563.0,400,2022,6,Riverside,1Story,BuiltIn,Good,506000
18507,10,9,2004,1965,1390.0,3840,2,0,1,1,3,0,0,528.0,200,2016,10,Greenfield,1.5Story,BuiltIn,Poor,545900
14171,1,4,2002,2001,62.0,932,1,1,2,1,4,0,3,1.0,200,2019,1,Lakeside,SplitLevel,Detached,Poor,214200
5747,10,8,1953,1965,2107.0,3492,3,0,3,2,4,0,2,495.0,0,2022,5,Greenfield,1.5Story,Attached,Fair,562200
6756,4,7,1975,1994,111.0,1816,1,0,3,1,6,0,1,774.0,200,2015,6,Suburbia,1.5Story,Detached,Fair,248200
5711,10,7,1956,2019,328.0,3825,1,1,4,2,9,0,3,127.0,0,2021,5,Downtown,SplitLevel,Detached,Poor,547500
5983,5,1,1963,2005,1790.0,803,2,1,3,2,4,0,3,174.0,0,2020,5,Hillcrest,2Story,Detached,Good,308400
17172,1,4,2000,2001,793.0,1497,1,0,3,2,10,1,0,139.0,0,2022,11,Northgate,1.5Story,BuiltIn,Fair,239300
3236,5,10,1963,2007,2055.0,1821,1,0,1,1,4,2,2,724.0,0,2016,9,Suburbia,1.5Story,BuiltIn,Poor,341600
10186,9,9,2002,1978,25.0,684,1,0,1,1,11,0,0,789.0,0,2019,10,Greenfield,2Story,Detached,Fair,190200
16998,9,7,1951,2021,973.0,3201,3,0,1,2,6,1,3,530.0,200,2020,9,Northgate,2Story,None,Poor,474100
19608,8,7,1952,1986,975.0,4226,2,1,2,2,5,0,0,302.0,0,2020,9,Greenfield,SplitLevel,None,Good,543100
11705,7,5,2007,1964,702.0,2238,1,1,3,2,5,2,0,8.0,0,2016,6,Downtown,1.5Story,Detached,Poor,386700
6754,6,8,2010,2002,540.0,2565,2,0,2,2,9,2,0,207.0,0,2019,1,Northgate,SplitLevel,Detached,Excellent,428100
7917,1,10,1983,2008,257.0,1772,3,0,1,1,10,2,3,515.0,400,2020,4,Suburbia,1Story,BuiltIn,Excellent,324200
16923,3,10,1969,1951,757.0,3701,1,1,4,2,7,2,3,305.0,0,2017,2,Greenfield,SplitLevel,None,Average,479900
9295,2,7,1986,2019,894.0,1225,1,1,4,1,11,2,2,609.0,200,2022,9,Northgate,SplitLevel,None,Average,253100
6083,5,2,2003,1959,154.0,1657,2,1,5,1,10,0,3,815.0,0,2023,2,Suburbia,1Story,Detached,Poor,276600
18069,7,9,1957,2001,306.0,2555,1,0,2,1,5,1,3,743.0,0,2023,2,Old Town,1Story,,Good,411100
8423,2,1,2012,2012,530.0,2259,1,0,5,2,6,2,1,819.0,0,2019,9,Downtown,1Story,Detached,Poor,313700
12524,7,6,2000,1950,1868.0,3408,3,1,3,2,9,2,1,216.0,0,2015,4,Old Town,1Story,None,Poor,506200
15197,7,5,2003,2011,1607.0,3159,3,1,3,2,3,0,1,598.0,0,2015,4,Oakwood,1.5Story,None,Poor,466900
18158,9,4,1998,1952,159.0,1668,2,0,5,1,7,2,2,356.0,0,2020,8,Suburbia,SplitLevel,Detached,Excellent,354500
10022,3,2,1996,1980,333.0,2715,3,1,5,1,9,1,2,521.0,400,2017,12,Old Town,SplitLevel,Attached,Fair,374000
19458,9,10,2003,1962,857.0,880,3,0,4,2,8,1,2,726.0,0,2021,4,Greenfield,1.5Story,BuiltIn,Poor,263100
7703,10,1,1968,1953,2363.0,4292,2,0,5,1,11,1,2,625.0,0,2023,3,Northgate,SplitLevel,None,Excellent,666800
17749,6,5,2016,1990,1711.0,3777,3,1,2,1,8,1,0,450.0,200,2020,8,Sunnyvale,2Story,,Excellent,597900
17596,9,1,1969,2020,159.0,3596,3,1,4,1,10,1,3,125.0,0,2020,1,Riverside,1Story,BuiltIn,Good,523700
8319,8,10,1989,2011,1525.0,3401,2,0,4,1,3,2,2,696.0,0,2021,8,Greenfield,SplitLevel,None,Poor,504000
16564,3,3,1973,1983,1128.0,2578,1,1,2,2,9,0,0,237.0,200,2021,5,Suburbia,SplitLevel,BuiltIn,Fair,366100
15990,9,1,1971,1974,1153.0,2697,3,0,1,2,11,1,1,835.0,0,2018,12,Riverside,1.5Story,Detached,Poor,436800
14016,9,5,1999,1995,875.0,4134,2,0,1,2,7,1,1,,200,2022,3,Hillcrest,1Story,None,Poor,577300
19281,6,3,1961,1991,2108.0,4416,1,1,1,1,9,1,1,756.0,0,2023,5,Downtown,1Story,None,Poor,597200
19967,4,7,1982,1966,772.0,1443,1,0,3,2,6,1,3,632.0,200,2016,6,Lakeside,SplitLevel,None,Poor,282100
11335,1,4,1991,1966,908.0,3701,3,0,2,2,10,2,1,739.0,0,2017,2,Northgate,1Story,None,Good,476500
12916,9,4,1984,1986,1111.0,1148,1,1,2,2,3,0,2,808.0,0,2016,9,Lakeside,2Story,Attached,Good,367500
19500,1,10,2001,1998,2097.0,3436,3,0,4,2,5,0,1,409.0,400,2018,1,Sunnyvale,1Story,None,Good,553300
5475,7,2,1964,1973,567.0,2848,2,0,1,1,5,0,2,738.0,200,2022,1,Downtown,1Story,Attached,Good,462400
13106,5,2,1972,1982,,2726,3,1,4,1,3,1,2,305.0,0,2019,7,Greenfield,2Story,Attached,Average,394300
19984,2,6,2007,2014,483.0,3525,1,0,3,1,9,2,1,428.0,0,2020,10,Old Town,1.5Story,BuiltIn,Good,425300
9303,2,10,1953,1975,1384.0,649,1,0,1,1,3,0,1,122.0,0,2018,11,Sunnyvale,SplitLevel,Detached,Average,211500
6911,7,3,2001,2006,333.0,2026,3,1,5,1,3,1,2,161.0,0,2022,5,Suburbia,1.5Story,Attached,Good,336200
9251,6,2,2012,2021,2049.0,2663,1,0,4,1,4,0,3,292.0,200,2023,4,Riverside,2Story,Detached,Good,478500
12218,6,10,2022,2018,2401.0,1732,2,0,2,1,4,2,2,852.0,0,2020,6,Lakeside,2Story,,Average,486300
9548,8,10,2012,2018,1398.0,2693,2,1,5,1,5,2,2,361.0,200,2016,6,Greenfield,2Story,Attached,Excellent,478800
7033,1,6,1983,1989,410.0,3740,3,0,4,2,7,1,1,364.0,0,2019,12,Oakwood,SplitLevel,None,Good,475200
9894,10,10,1965,1958,248.0,857,3,0,3,1,6,2,3,820.0,0,2015,1,Oakwood,2Story,Attached,Good,307500
16399,4,2,1962,2007,1848.0,3446,3,1,3,1,6,0,2,44.0,0,2023,11,Hillcrest,2Story,Attached,Excellent,527500
14447,9,1,2005,1965,1568.0,4090,1,0,2,2,7,1,0,381.0,0,2022,3,Greenfield,2Story,BuiltIn,Excellent,580000
6267,10,8,2003,2010,275.0,2204,1,0,3,2,11,1,2,542.0,400,2018,11,Suburbia,2Story,Detached,Poor,387100
15330,8,1,2013,1962,721.0,3444,3,1,3,2,7,0,2,157.0,200,2015,7,Lakeside,1.5Story,BuiltIn,Good,555700
7495,1,10,1990,2003,1295.0,790,1,1,5,1,6,1,0,185.0,200,2019,10,Sunnyvale,SplitLevel,Detached,Fair,215900
4645,10,6,1962,2021,1089.0,938,2,0,4,1,4,2,3,32.0,0,2017,7,Lakeside,1.5Story,None,Fair,338600
9233,8,9,1951,1961,324.0,1707,2,0,2,1,4,2,0,467.0,200,2017,5,Old Town,SplitLevel,Attached,Average,293700
17537,5,8,2015,1974,,1289,1,0,4,1,5,2,3,764.0,400,2023,6,Northgate,SplitLevel,BuiltIn,Good,312800
16031,1,1,1980,1980,1517.0,1806,1,0,1,1,6,2,1,761.0,400,2019,10,Northgate,SplitLevel,BuiltIn,Average,310100
11656,8,10,1963,1970,985.0,2805,3,0,1,1,9,2,2,359.0,400,2020,6,Greenfield,SplitLevel,None,Fair,482800
8177,3,6,1958,1976,1202.0,1109,1,1,1,1,6,2,2,330.0,0,2022,2,Riverside,1Story,Attached,Fair,263400
3780,6,6,1986,1958,2083.0,3070,1,1,5,1,11,0,2,897.0,0,2019,6,Riverside,1Story,Attached,Excellent,533900
15880,2,9,1955,2020,1711.0,1961,2,1,2,1,8,0,2,623.0,0,2016,6,Hillcrest,SplitLevel,None,Excellent,406000
8997,2,2,1966,1996,2264.0,3427,2,1,5,1,7,0,3,76.0,0,2015,9,Hillcrest,1Story,Attached,Poor,487200
3207,2,7,1961,1992,1265.0,4193,2,1,1,2,9,0,1,0.0,400,2017,2,Suburbia,2Story,Attached,Excellent,538700
4229,6,7,1960,1975,1445.0,1900,1,0,1,1,6,1,2,100.0,200,2022,8,Lakeside,SplitLevel,None,Average,450000
17089,1,10,1997,2019,2086.0,887,1,0,2,2,11,2,1,633.0,200,2023,5,Old Town,1Story,Detached,Fair,245400
14303,4,3,2014,1993,2426.0,4199,3,1,3,1,3,1,1,435.0,0,2020,8,Riverside,1Story,Attached,Poor,594400
3016,4,7,1978,1963,1553.0,2504,1,1,4,1,4,1,1,599.0,0,2017,7,Sunnyvale,1.5Story,BuiltIn,Fair,408200
9917,7,4,1980,2020,831.0,1960,1,1,4,2,7,2,2,229.0,0,2015,2,Hillcrest,SplitLevel,None,Excellent,345600
13874,3,3,1992,1998,1392.0,1219,2,0,5,1,4,1,3,834.0,0,2020,4,Sunnyvale,1.5Story,Detached,Good,307300
8287,8,8,1990,2011,2019.0,4281,1,1,5,2,9,2,0,328.0,0,2023,2,Northgate,1Story,Detached,Good,636200
11894,10,2,1968,2007,1154.0,1119,2,1,1,1,6,1,0,826.0,0,2020,7,Old Town,2Story,,Excellent,300300
